Date,Screen Time Total (minutes),Social (minutes),Information & Reading (Minutes),Other (minutes),Entertainment (minutes),Productivity and Finance,Day of Week
2/13/22,351,146,13,1,161,30,Sunday
2/14/22,311,201,31,0,72,7,Monday
2/15/22,317,175,45,4,49,44,Tuesday
2/16/22,177,136,7,11,22,1,Wednesday
2/17/22,269,232,5,1,31,0,Thursday
2/18/22,283,201,12,2,27,41,Friday
2/19/22,245,121,19,1,100,4,Saturday
2/20/22,301,147,3,0,134,17,Sunday
2/21/22,385,128,16,47,191,3,Monday
2/22/22,396,222,109,11,50,4,Tuesday
2/23/22,369,208,19,72,39,31,Wednesday
2/24/22,188,45,51,19,71,2,Thursday
2/25/22,289,160,2,71,19,37,Friday
2/26/22,293,91,62,13,119,8,Saturday
2/27/22,334,143,29,2,137,23,Sunday
2/28/22,335,127,17,34,146,11,Monday
3/1/22,437,217,124,21,31,44,Tuesday
3/2/22,285,200,13,31,39,2,Wednesday
3/3/22,155,76,9,9,52,9,Thursday
3/4/22,205,126,29,7,14,29,Friday
3/5/22,412,207,63,2,140,0,Saturday
3/6/22,372,186,24,1,139,22,Sunday
3/7/22,377,185,3,0,170,19,Monday
3/8/22,339,101,101,1,129,7,Tuesday
3/9/22,287,141,14,32,74,26,Wednesday
3/10/22,386,153,16,1,173,43,Thursday
3/11/22,355,215,43,1,91,5,Friday
3/12/22,330,196,41,7,45,41,Saturday
3/13/22,201,143,8,11,35,4,Sunday
3/14/22,319,231,1,1,81,5,Monday
3/15/22,331,252,16,3,17,43,Tuesday
3/16/22,275,125,18,1,122,9,Wednesday
3/17/22,348,153,5,1,173,16,Thursday
3/18/22,429,156,31,51,177,14,Friday
3/19/22,363,211,102,10,33,7,Saturday
3/20/22,423,226,23,92,42,40,Sunday
3/21/22,220,52,67,21,74,6,Monday
3/22/22,292,157,0,79,14,42,Tuesday
3/23/22,302,92,75,13,112,10,Wednesday
3/24/22,402,160,42,9,153,38,Thursday
3/25/22,421,156,33,51,164,17,Friday
3/26/22,430,216,116,10,43,45,Saturday
3/27/22,322,215,16,42,37,12,Sunday
3/28/22,194,77,10,15,78,14,Monday
3/29/22,220,122,21,17,21,39,Tuesday
3/30/22,266,88,60,4,108,6,Wednesday
3/31/22,338,158,31,2,126,21,Thursday
4/1/22,428,232,54,13,125,4,Friday
4/2/22,411,184,36,8,137,46,Saturday
4/3/22,452,194,0,65,179,14,Sunday
4/4/22,394,105,97,42,134,16,Monday
4/5/22,344,136,13,71,92,32,Tuesday
4/6/22,162,97,3,16,34,12,Wednesday
4/7/22,310,78,15,14,72,131,Thursday
4/8/22,357,225,4,6,109,13,Friday
4/9/22,317,78,20,1,111,107,Saturday
4/10/22,354,128,22,34,153,17,Sunday
4/11/22,307,100,103,41,59,4,Monday
4/12/22,295,162,9,47,31,46,Tuesday
4/13/22,214,104,18,20,43,29,Wednesday
4/14/22,382,173,39,3,138,29,Thursday
