Date,Day of Week
2/13/22,Sunday
2/14/22,Monday
2/15/22,Tuesday
2/16/22,Wednesday
2/17/22,Thursday
2/18/22,Friday
2/19/22,Saturday
2/20/22,Sunday
2/21/22,Monday
2/22/22,Tuesday
2/23/22,Wednesday
2/24/22,Thursday
2/25/22,Friday
2/26/22,Saturday
2/27/22,Sunday
2/28/22,Monday
3/1/22,Tuesday
3/2/22,Wednesday
3/3/22,Thursday
3/4/22,Friday
3/5/22,Saturday
3/6/22,Sunday
3/7/22,Monday
3/8/22,Tuesday
3/9/22,Wednesday
3/10/22,Thursday
3/11/22,Friday
3/12/22,Saturday
3/13/22,Sunday
3/14/22,Monday
3/15/22,Tuesday
3/16/22,Wednesday
3/17/22,Thursday
3/18/22,Friday
3/19/22,Saturday
3/20/22,Sunday
3/21/22,Monday
3/22/22,Tuesday
3/23/22,Wednesday
3/24/22,Thursday
3/25/22,Friday
3/26/22,Saturday
3/27/22,Sunday
3/28/22,Monday
3/29/22,Tuesday
3/30/22,Wednesday
3/31/22,Thursday
4/1/22,Friday
4/2/22,Saturday
4/3/22,Sunday
4/4/22,Monday
4/5/22,Tuesday
4/6/22,Wednesday
4/7/22,Thursday
4/8/22,Friday
4/9/22,Saturday
4/10/22,Sunday
4/11/22,Monday
4/12/22,Tuesday
4/13/22,Wednesday
4/14/22,Thursday
